userid;Einwilligungserklärung zur Forschungsbeteiligung
1681;Akzeptiert
1506;Akzeptiert
1509;Akzeptiert
269;Akzeptiert
263;Akzeptiert
171;Akzeptiert
1487;Akzeptiert
325;Akzeptiert
967;Akzeptiert
1543;Akzeptiert
1214;Akzeptiert
1596;Akzeptiert
1493;Akzeptiert
1183;Akzeptiert
1577;Akzeptiert
978;Akzeptiert
1515;Akzeptiert
1334;Akzeptiert
1078;Akzeptiert
300;Akzeptiert
1482;Akzeptiert
1508;Akzeptiert
1391;Akzeptiert
1283;Akzeptiert
72;Akzeptiert
68;Akzeptiert
1109;Akzeptiert
1480;Akzeptiert
1353;Akzeptiert
1498;Akzeptiert
1478;Akzeptiert
147;Akzeptiert
106;Akzeptiert
1479;Akzeptiert
1497;Akzeptiert
1512;Akzeptiert
178;Akzeptiert
385;Akzeptiert
1002;Akzeptiert
1484;Akzeptiert
1488;Akzeptiert
443;Akzeptiert
123;Akzeptiert
1499;Akzeptiert
1218;Akzeptiert
1565;Akzeptiert
1584;Akzeptiert
1104;Akzeptiert
468;Akzeptiert
1516;Akzeptiert
1070;Akzeptiert
215;Akzeptiert
695;Akzeptiert
1352;Akzeptiert
1510;Akzeptiert
1489;Akzeptiert
1483;Akzeptiert
1607;Akzeptiert
94;Akzeptiert
1523;Akzeptiert
1377;Akzeptiert
574;Akzeptiert
997;Akzeptiert
1513;Akzeptiert
1511;Akzeptiert
1519;Akzeptiert
288;Akzeptiert
1554;Akzeptiert
1521;Akzeptiert
1463;Akzeptiert
759;Akzeptiert
1116;Akzeptiert
1520;Akzeptiert
261;Akzeptiert
314;Akzeptiert
1023;Akzeptiert
1246;Akzeptiert
1569;Akzeptiert
1074;Akzeptiert
1251;Akzeptiert
1354;Akzeptiert
1460;Akzeptiert
1441;Akzeptiert
1507;Akzeptiert
1022;Akzeptiert
1490;Akzeptiert
604;Akzeptiert
1282;Akzeptiert
1191;Akzeptiert
1517;Akzeptiert
1505;Akzeptiert
1320;Akzeptiert
1434;Akzeptiert
398;Akzeptiert
1481;Akzeptiert
1575;Akzeptiert
1440;Akzeptiert
1485;Akzeptiert
1612;Akzeptiert
1619;Akzeptiert
281;Akzeptiert
1632;Akzeptiert
1633;Akzeptiert
1067;Akzeptiert
1635;Akzeptiert
1637;Akzeptiert
1638;Akzeptiert
1639;Akzeptiert
1645;Akzeptiert
463;Akzeptiert
1653;Akzeptiert
1617;Akzeptiert
294;Akzeptiert
890;Akzeptiert
1659;Akzeptiert
1492;Akzeptiert
996;Akzeptiert
983;Akzeptiert
1686;Akzeptiert
1687;Akzeptiert
1690;Akzeptiert
1691;Akzeptiert
1695;Akzeptiert
1673;Akzeptiert
488;Akzeptiert
1708;Akzeptiert
1667;Akzeptiert
1356;Akzeptiert
1719;Akzeptiert
1717;Akzeptiert
519;Akzeptiert
1726;Akzeptiert
176;Akzeptiert
1729;Akzeptiert
1734;Akzeptiert
1743;Akzeptiert
1746;Akzeptiert
1748;Akzeptiert
1693;Akzeptiert
740;Akzeptiert
1757;Akzeptiert
452;Akzeptiert
1405;Akzeptiert
782;Akzeptiert
1772;Akzeptiert
1773;Akzeptiert
1774;Akzeptiert
1366;Akzeptiert
1299;Akzeptiert
1781;Akzeptiert
1782;Akzeptiert
232;Akzeptiert
1156;Akzeptiert
1784;Akzeptiert
239;Akzeptiert
1788;Akzeptiert
738;Akzeptiert
1798;Akzeptiert
1799;Akzeptiert
291;Akzeptiert
407;Akzeptiert
1807;Akzeptiert
841;Akzeptiert
1133;Akzeptiert
1809;Akzeptiert
1810;Akzeptiert
1811;Akzeptiert
886;Akzeptiert
1814;Akzeptiert
1779;Akzeptiert
1820;Akzeptiert
1823;Akzeptiert
1825;Akzeptiert
1250;Akzeptiert
1559;Akzeptiert
1559;Akzeptiert
1832;Akzeptiert
1835;Akzeptiert
1291;Akzeptiert
1845;Akzeptiert
1865;Akzeptiert
343;Akzeptiert
1875;Akzeptiert
930;Akzeptiert
414;Akzeptiert
1879;Akzeptiert
1112;Akzeptiert
230;Akzeptiert
1887;Akzeptiert
756;Akzeptiert
1852;Akzeptiert
1856;Akzeptiert
1857;Akzeptiert
1858;Akzeptiert
1859;Akzeptiert
1540;Akzeptiert
1540;Akzeptiert
1538;Akzeptiert
1538;Akzeptiert
1542;Akzeptiert
1542;Akzeptiert
1532;Akzeptiert
1532;Akzeptiert
1545;Akzeptiert
1545;Akzeptiert
1546;Akzeptiert
1547;Akzeptiert
1548;Akzeptiert
1549;Akzeptiert
1550;Akzeptiert
1551;Akzeptiert
1552;Akzeptiert
1524;Akzeptiert
1553;Akzeptiert
1530;Akzeptiert
1555;Akzeptiert
1556;Akzeptiert
1557;Akzeptiert
1558;Akzeptiert
1536;Akzeptiert
1560;Akzeptiert
1561;Akzeptiert
1562;Akzeptiert
1563;Akzeptiert
1564;Akzeptiert
1527;Akzeptiert
1566;Akzeptiert
1567;Akzeptiert
1568;Akzeptiert
1570;Akzeptiert
1571;Akzeptiert
1572;Akzeptiert
1573;Akzeptiert
1535;Akzeptiert
1539;Akzeptiert
1534;Akzeptiert
1574;Akzeptiert
1576;Akzeptiert
1578;Akzeptiert
1579;Akzeptiert
1580;Akzeptiert
1581;Akzeptiert
1582;Akzeptiert
1583;Akzeptiert
1585;Akzeptiert
1586;Akzeptiert
1587;Akzeptiert
1588;Akzeptiert
1589;Akzeptiert
1528;Akzeptiert
1590;Akzeptiert
1592;Akzeptiert
1593;Akzeptiert
1594;Akzeptiert
1595;Akzeptiert
1429;Akzeptiert
1531;Akzeptiert
1597;Akzeptiert
1598;Akzeptiert
1599;Akzeptiert
1601;Akzeptiert
1603;Akzeptiert
1604;Akzeptiert
1606;Akzeptiert
1533;Akzeptiert
1608;Akzeptiert
1609;Akzeptiert
1610;Akzeptiert
1611;Akzeptiert
1613;Akzeptiert
1614;Akzeptiert
1615;Akzeptiert
1616;Akzeptiert
1618;Akzeptiert
1620;Akzeptiert
1621;Akzeptiert
1622;Akzeptiert
1623;Akzeptiert
1624;Akzeptiert
1625;Akzeptiert
1626;Akzeptiert
1537;Akzeptiert
1627;Akzeptiert
1628;Akzeptiert
1629;Akzeptiert
1630;Akzeptiert
1631;Akzeptiert
1529;Akzeptiert
1634;Akzeptiert
1636;Akzeptiert
1640;Akzeptiert
1641;Akzeptiert
1642;Akzeptiert
1643;Akzeptiert
1644;Akzeptiert
1646;Akzeptiert
1647;Akzeptiert
1648;Akzeptiert
1649;Akzeptiert
1650;Akzeptiert
1651;Akzeptiert
1652;Akzeptiert
1655;Akzeptiert
1656;Akzeptiert
1657;Akzeptiert
1658;Akzeptiert
1661;Akzeptiert
1663;Akzeptiert
1664;Akzeptiert
1665;Akzeptiert
1668;Akzeptiert
1669;Akzeptiert
1670;Akzeptiert
1671;Akzeptiert
1672;Akzeptiert
1674;Akzeptiert
1675;Akzeptiert
1676;Akzeptiert
1677;Akzeptiert
1678;Akzeptiert
1525;Akzeptiert
1679;Akzeptiert
1680;Akzeptiert
1682;Akzeptiert
1683;Akzeptiert
1684;Akzeptiert
1685;Akzeptiert
1688;Akzeptiert
1689;Akzeptiert
1692;Akzeptiert
1694;Akzeptiert
1696;Akzeptiert
1697;Akzeptiert
1698;Akzeptiert
1699;Akzeptiert
1701;Akzeptiert
1703;Akzeptiert
1704;Akzeptiert
1705;Akzeptiert
1526;Akzeptiert
1709;Akzeptiert
1710;Akzeptiert
1711;Akzeptiert
1712;Akzeptiert
1713;Akzeptiert
1714;Akzeptiert
1715;Akzeptiert
1716;Akzeptiert
1718;Akzeptiert
1720;Akzeptiert
1723;Akzeptiert
1725;Akzeptiert
1728;Akzeptiert
1730;Akzeptiert
1731;Akzeptiert
1732;Akzeptiert
1733;Akzeptiert
1736;Akzeptiert
1737;Akzeptiert
1738;Akzeptiert
1745;Akzeptiert
1749;Akzeptiert
1750;Akzeptiert
1753;Akzeptiert
1754;Akzeptiert
1755;Akzeptiert
1756;Akzeptiert
1758;Akzeptiert
1759;Akzeptiert
1760;Akzeptiert
1761;Akzeptiert
1762;Akzeptiert
1763;Akzeptiert
1765;Akzeptiert
1766;Akzeptiert
1767;Akzeptiert
1769;Akzeptiert
1770;Akzeptiert
1771;Akzeptiert
1775;Akzeptiert
1778;Akzeptiert
1780;Akzeptiert
1783;Akzeptiert
1412;Akzeptiert
1785;Akzeptiert
1787;Akzeptiert
1789;Akzeptiert
1791;Akzeptiert
1793;Akzeptiert
1794;Akzeptiert
1795;Akzeptiert
1797;Akzeptiert
1801;Akzeptiert
1802;Akzeptiert
1803;Akzeptiert
1804;Akzeptiert
1805;Akzeptiert
1806;Akzeptiert
1808;Akzeptiert
1854;Akzeptiert
1812;Akzeptiert
1813;Akzeptiert
1817;Akzeptiert
1818;Akzeptiert
1819;Akzeptiert
1821;Akzeptiert
1822;Akzeptiert
1855;Akzeptiert
1824;Akzeptiert
1826;Akzeptiert
1830;Akzeptiert
1831;Akzeptiert
1836;Akzeptiert
1837;Akzeptiert
1840;Akzeptiert
1842;Akzeptiert
1848;Akzeptiert
1849;Akzeptiert
1851;Akzeptiert
1862;Akzeptiert
1868;Akzeptiert
1869;Akzeptiert
1870;Akzeptiert
1871;Akzeptiert
1872;Akzeptiert
1873;Akzeptiert
1874;Akzeptiert
1878;Akzeptiert
1882;Akzeptiert
1884;Akzeptiert
1888;Akzeptiert
1889;Akzeptiert
1890;Akzeptiert
1895;Akzeptiert
1896;Akzeptiert
1897;Akzeptiert
1904;Akzeptiert
1905;Akzeptiert
1906;Akzeptiert
1908;Akzeptiert
1910;Akzeptiert
1912;Akzeptiert
1913;Akzeptiert
1915;Akzeptiert
1917;Akzeptiert
1919;Akzeptiert
1920;Akzeptiert
1921;Akzeptiert
1923;Akzeptiert
1924;Akzeptiert
1925;Akzeptiert
1926;Akzeptiert
